user_id,user_interests,recommendation_rank,post_id,post_content_type,post_tags,recommendation_score,match_reason
U1,"sports, art, gaming",1,P78,video,"sports, art",0.6,"Common interests: art, sports"
U1,"sports, art, gaming",2,P22,audio,"sports, art",0.5454545454545453,"Common interests: art, sports"
U1,"sports, art, gaming",3,P12,video,fitness,0.4,Popular content or collaborative filtering
U2,"travel, food, fashion",1,P1,video,"sports, food",0.7,Common interests: food
U2,"travel, food, fashion",2,P5,image,"food, fashion",0.6,"Common interests: fashion, food"
U2,"travel, food, fashion",3,P80,video,"travel, food",0.6,"Common interests: food, travel"
U3,"sports, travel, fashion",1,P39,video,"travel, sports",0.8902177630067947,"Common interests: sports, travel"
U3,"sports, travel, fashion",2,P1,video,"sports, food",0.6736132019219243,Common interests: sports
U3,"sports, travel, fashion",3,P34,video,"travel, sports",0.6,"Common interests: sports, travel"
U4,"fashion, music, tech",1,P53,video,"fashion, tech",1.0,"Common interests: fashion, tech"
U4,"fashion, music, tech",2,P37,text,"tech, music",0.7653785006952527,"Common interests: music, tech"
U4,"fashion, music, tech",3,P96,video,"music, fashion",0.6,"Common interests: music, fashion"
U5,"fashion, food, fitness",1,P5,image,"food, fashion",0.6,"Common interests: fashion, food"
U5,"fashion, food, fitness",2,P7,image,"food, fitness",0.6,"Common interests: food, fitness"
U5,"fashion, food, fitness",3,P26,image,"food, fitness",0.6,"Common interests: food, fitness"
U6,"fashion, food, fitness",1,P7,image,"food, fitness",0.6,"Common interests: food, fitness"
U6,"fashion, food, fitness",2,P26,image,"food, fitness",0.6,"Common interests: food, fitness"
U6,"fashion, food, fitness",3,P35,image,"fitness, food",0.6,"Common interests: food, fitness"
U7,"food, fashion, art",1,P70,image,"art, food",0.9572344009187537,"Common interests: art, food"
U7,"food, fashion, art",2,P69,text,"fashion, food",0.9454545454545453,"Common interests: fashion, food"
U7,"food, fashion, art",3,P5,image,"food, fashion",0.6,"Common interests: fashion, food"
U8,"food, sports, gaming",1,P1,video,"sports, food",0.6,"Common interests: food, sports"
U8,"food, sports, gaming",2,P17,video,"food, sports",0.6,"Common interests: food, sports"
U8,"food, sports, gaming",3,P46,video,"food, sports",0.6,"Common interests: food, sports"
U9,"art, travel, sports",1,P34,video,"travel, sports",0.6,"Common interests: sports, travel"
U9,"art, travel, sports",2,P78,video,"sports, art",0.6,"Common interests: art, sports"
U9,"art, travel, sports",3,P97,video,"travel, sports",0.6,"Common interests: sports, travel"
